,input,output
0,"[ 847  735  816  746  798  884  861  811  833  803  807  797  816  831
  860  857  867  952 1185 1415 1483 1275 1103  924  886  784  780  859
  997 1079  981  950  913 1041 1239 1130  963  921  752  736]",0
1,"[ 819.  720.  810.  738.  777.  874.  865.  799.  799.  761.  789.  791.
  811.  808.  848.  860.  852.  880. 1078. 1345. 1493. 1361. 1210. 1012.
  957.  833.  795.  820.  965. 1100. 1065. 1028.  908.  961. 1158. 1106.
  983.  955.  761.  725.]",0
2,"[ 776  691  775  746  829  896  873  750  787  750  758  751  773  794
  847  877  861  913 1117 1321 1413 1253 1107  959  942  845  839  899
 1080 1191 1104  991  867  920 1138 1077  960  938  759  697]",0
3,"[ 787  693  778  751  831  892  869  760  813  785  792  773  788  796
  838  859  852  928 1134 1319 1389 1210 1079  953  943  851  852  924
 1109 1200 1079  967  860  928 1154 1080  960  931  751  691]",0
4,"[ 755  794  679  800  840  926  927  854  787  831  766  765  756  786
  833  834  861  862 1002 1238 1382 1361 1124 1017  917  939  839  847
  958 1181 1267 1118  994  892  939 1106 1002  850  841  725]",0
5,"[ 757  792  673  806  841  913  896  820  783  844  785  769  747  779
  812  798  833  865 1048 1283 1388 1338 1105 1027  957  980  874  893
 1020 1232 1285 1106  982  895  948 1096  979  822  822  723]",0
6,"[ 753  734  735  681  861  886  910  879  783  781  849  764  725  717
  801  797  783  841  975 1206 1414 1355 1213 1011  995  971  973  893
  980 1197 1337 1279 1060  980  952 1000 1080  897  750  786]",0
7,"[ 756  737  765  683  849  888  912  854  795  814  881  780  734  727
  778  798  764  846  967 1193 1359 1334 1231 1041 1046  999 1014  907
  986 1159 1315 1263 1022  937  894  951 1053  901  757  803]",0
8,"[ 940.   834.   753.   728.   784.   787.   776.   832.   964.  1189.
 1300.  1219.5 1139.   965.  1022.   981.   977.   820.   960.  1211.
 1370.  1276.  1078.  1037.   996.  1020.  1071.   877.   748.   818.
  767.   747.   773.   766.   743.   703.   762.   747.   661.   579. ]",0
9,"[ 912  767  707  717  782  760  763  898 1087 1277 1307 1183 1153 1045
 1099 1011  995  918 1132 1344 1370 1162  945  956  938  952  984  795
  703  811  761  730  756  759  739  690  743  730  649  563]",0
10,"[ 866  773  710  691  765  757  739  806  910 1087 1244 1182 1113 1027
 1099 1099 1070  920  953 1163 1337 1309 1083  952  866  887  980  824
  722  793  724  724  753  751  735  688  748  739  674  614]",0
11,"[ 933  771  703  721  789  768  758  874 1025 1174 1182 1095 1138 1089
 1170 1068 1027  949 1181 1418 1443 1193  933  898  863  878  927  764
  697  809  751  721  749  758  750  699  748  730  652  573]",0
12,"[ 955  801  711  704  771  747  746  874 1049 1227 1258 1173 1243 1225
 1324 1207 1108  927 1109 1370 1459 1264  995  934  879  880  927  764
  707  828  769  734  753  755  744  695  745  723  648  567]",0
13,"[ 971  941  736  693  726  775  740  786  970 1110 1162 1128 1120 1288
 1278 1274 1070 1030 1051 1338 1499 1378 1053  839  880  854  826  859
  723  695  827  761  723  761  766  751  694  743  728  650]",0
14,"[ 941  856  800  799  875  958  977  793  699  701  762  739  746  879
 1027 1147 1143 1101 1252 1300 1402 1247 1119  934 1124 1355 1388 1151
  895  876  840  853  905  758  707  819  757  719  748  757]",0
15,"[ 828.   956.   832.   779.   828.   911.   923.   887.   704.   689.
  723.   764.   730.   792.   976.  1102.  1154.  1167.  1242.5 1495.
 1496.  1460.  1202.  1096.  1054.  1306.  1438.  1317.  1020.   805.
  836.   796.   784.   828.   709.   691.   822.   752.   717.   758. ]",0
16,"[ 827.   951.   831.   783.   835.   921.   949.   912.   726.   695.
  729.   780.   742.   781.   939.  1056.  1099.  1109.  1202.5 1480.
 1530.  1518.  1236.  1079.   980.  1226.  1403.  1331.  1048.   822.
  843.   805.   790.   841.   724.   710.   838.   769.   731.   767. ]",0
17,"[ 844  834  915  783  780  896  971  936  872  708  710  737  771  748
  825  983 1045 1040 1099 1282 1567 1522 1393 1086 1026 1054 1292 1351
 1182  893  751  836  801  768  827  724  708  826  750  721]",0
18,"[ 868  849  915  778  783  896  964  920  851  703  723  749  772  748
  813  935  963  984 1115 1371 1666 1578 1396 1071 1045 1108 1352 1375
 1173  869  722  794  756  733  806  714  701  815  751  727]",0
19,"[ 836  936  810  783  872  943  939  889  717  707  752  795  753  774
  888  934  946 1009 1227 1591 1646 1574 1229 1056  954 1195 1337 1232
  949  747  786  757  755  823  720  704  823  755  727  770]",0
20,"[ 836.   928.   799.   784.   881.   952.   933.   877.   720.   728.
  771.   807.   760.   781.   881.   923.   935.  1045.  1303.5 1673.
 1708.  1604.  1234.  1042.   936.  1152.  1276.  1182.   920.   730.
  774.   740.   740.   822.   739.   724.   835.   761.   723.   763. ]",0
21,"[ 853  945  815  791  870  934  922  877  725  731  786  824  775  776
  849  876  878  976 1235 1634 1716 1650 1286 1054  872 1064 1224 1175
  934  740  767  726  732  823  745  727  846  763  727  763]",0
22,"[ 815  911  797  803  920  996  938  872  688  713  778  821  789  782
  847  847  799  953 1281 1649 1717 1610 1241 1019  872  982 1088 1016
  818  700  761  752  761  874  793  740  830  742  703  751]",0
23,"[ 774.  858.  760.  849.  990. 1044. 1000.  888.  707.  735.  765.  798.
  769.  780.  862.  838.  831. 1013. 1375. 1740. 1808. 1630. 1264. 1011.
  816.  993. 1082. 1007.  814.  731.  805.  771.  794.  903.  827.  792.
  858.  763.  705.  767.]",0
24,"[ 857  948  822  796  869  921  905  864  719  737  796  837  774  753
  802  806  795  909 1225 1696 1846 1807 1412 1109  838  994 1180 1165
  947  734  736  703  714  819  744  732  841  751  713  756]",0
25,"[ 807  919  808  804  898  973  928  883  704  718  791  834  794  762
  804  787  742  906 1277 1733 1907 1850 1449 1118  830  895 1052 1051
  867  700  708  691  720  852  783  747  844  749  709  762]",0
26,"[ 830  926  813  799  878  933  919  886  749  774  845  887  817  764
  765  751  751  912 1272 1804 1987 1953 1526 1159  790  892 1087 1110
  920  725  718  676  693  802  742  739  859  776  746  777]",0
27,"[ 925.   829.   798.   841.   898.   923.   915.   759.   728.   783.
  856.   819.   766.   762.   758.   736.   769.   994.5 1498.  1831.
 2030.  1788.  1436.   903.   797.   962.  1092.  1000.   802.   742.
  674.   695.   817.   752.   751.   870.   782.   729.   757.   763. ]",0
28,"[ 954.  841.  813.  858.  914.  877.  848.  686.  725.  822.  884.  840.
  776.  790.  774.  703.  821. 1177. 1710. 2043. 2124. 1765. 1350.  872.
  824. 1010. 1099.  963.  758.  696.  659.  693.  839.  783.  757.  855.
  757.  709.  762.  749.]",0
29,"[ 942.  851.  821.  852.  904.  881.  869.  711.  726.  822.  895.  864.
  787.  775.  758.  694.  781. 1081. 1611. 2024. 2217. 1955. 1542.  968.
  775.  934. 1083. 1012.  821.  726.  656.  680.  826.  779.  766.  873.
  777.  727.  765.  756.]",0
30,"[ 935  835  809  856  883  872  856  742  776  865  919  857  786  773
  765  745  826 1116 1673 1998 2133 1803 1402  852  777  961 1082  986
  801  747  673  673  791  740  742  860  780  744  779  793]",1
31,"[ 880.   952.   823.   805.   864.   878.   835.   815.   747.   816.
  887.   897.   806.   764.   780.   767.   782.   991.  1420.5 1994.
 2163.  2067.  1567.  1150.   755.   851.  1049.  1095.   942.   767.
  738.   668.   675.   795.   740.   731.   839.   759.   723.   768. ]",1
32,"[ 914.   817.   809.   868.   894.   872.   853.   753.   803.   877.
  906.   827.   775.   802.   810.   802.   915.  1238.5 1807.  2068.
 2090.  1695.  1284.   793.   776.   943.  1018.   900.   743.   727.
  669.   680.   791.   732.   729.   843.   762.   732.   770.   785. ]",1
33,"[ 940.   822.   805.   859.   875.   837.   819.   740.   796.   868.
  885.   803.   757.   794.   799.   796.   931.  1282.5 1843.  2090.
 2101.  1681.  1266.   781.   775.   952.  1035.   939.   784.   756.
  684.   678.   793.   741.   744.   862.   772.   725.   760.   769. ]",1
34,"[ 938.   848.   821.   841.   851.   840.   834.   732.   775.   862.
  925.   867.   796.   788.   809.   819.   868.  1084.5 1608.  1979.
 2199.  1972.  1598.   992.   760.   848.   988.   960.   827.   787.
  698.   682.   778.   721.   731.   864.   774.   729.   759.   772. ]",1
35,"[ 946  859  830  838  842  837  835  732  757  847  925  884  816  811
  842  877  897 1035 1501 1881 2178 2055 1724 1095  794  837  996 1013
  890  832  726  691  778  707  714  854  774  730  756  773]",1
36,"[ 908.   843.   836.   847.   851.   841.   843.   738.   760.   845.
  922.   882.   813.   801.   838.   880.   887.   964.5 1370.  1747.
 2097.  2054.  1804.  1199.   852.   775.   889.   911.   826.   799.
  704.   679.   783.   717.   728.   869.   784.   738.   756.   770. ]",1
